                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.54256,                 1.2534,                 1.4941,                0.73667,                0.64207,                0.72105,                0.57549,                0.36244,                 1.1022,                 1.2787,               0.006832,               0.006832,               0.006832
                     99,                 0.5234,                 1.2405,                 1.4669,                0.71888,                0.64954,                0.69343,                0.55523,                 0.3364,                 1.1894,                 1.2391,               0.006799,               0.006799,               0.006799
                    100,                0.52887,                 1.2292,                  1.479,                0.72767,                0.63882,                0.67182,                0.52792,                0.36865,                 1.2085,                 1.2825,               0.006766,               0.006766,               0.006766
                    101,                0.52949,                 1.2489,                 1.4695,                0.70116,                0.64494,                0.70897,                0.56466,                 0.3495,                 1.1035,                 1.2514,               0.006733,               0.006733,               0.006733
                    102,                0.54291,                 1.2515,                 1.4794,                0.73764,                0.64093,                0.68923,                0.55008,                0.35922,                 1.1161,                 1.2468,                 0.0067,                 0.0067,                 0.0067
                    103,                0.54841,                 1.2207,                 1.4896,                0.68565,                0.73758,                0.72379,                0.58154,                0.33658,                 1.0814,                 1.2234,               0.006667,               0.006667,               0.006667
                    104,                0.54171,                 1.2333,                 1.4736,                0.75647,                0.67278,                0.70848,                0.55529,                0.37017,                  1.116,                 1.2688,               0.006634,               0.006634,               0.006634
                    105,                0.53505,                 1.1903,                 1.4587,                0.66363,                0.68664,                0.68113,                0.53715,                0.35229,                 1.1246,                 1.2669,               0.006601,               0.006601,               0.006601
                    106,                0.52926,                 1.1996,                 1.4589,                0.70291,                0.59143,                0.67676,                0.53859,                0.38196,                 1.2038,                 1.2739,               0.006568,               0.006568,               0.006568
                    107,                0.55233,                 1.2346,                 1.4828,                0.74494,                 0.6351,                0.69685,                0.55928,                0.35606,                 1.1146,                 1.2395,               0.006535,               0.006535,               0.006535
                    108,                0.53444,                 1.1895,                 1.4596,                0.64847,                 0.6695,                0.68274,                0.54775,                0.35206,                 1.2089,                 1.2418,               0.006502,               0.006502,               0.006502
                    109,                0.54803,                 1.1999,                  1.467,                0.72716,                0.67483,                 0.7238,                0.57648,                0.36517,                 1.0897,                 1.2626,               0.006469,               0.006469,               0.006469
                    110,                0.52444,                 1.2116,                 1.4533,                0.76467,                0.62976,                0.70284,                 0.5681,                 0.3459,                 1.0973,                  1.239,               0.006436,               0.006436,               0.006436
                    111,                0.52885,                 1.1853,                 1.4571,                0.77404,                0.61939,                0.70053,                0.56633,                0.33862,                 1.1494,                  1.233,               0.006403,               0.006403,               0.006403
                    112,                0.52596,                 1.1909,                 1.4426,                0.68622,                 0.6937,                 0.6912,                0.55654,                0.34679,                 1.1762,                 1.2347,                0.00637,                0.00637,                0.00637
                    113,                0.53573,                 1.1838,                 1.4507,                0.71872,                0.66137,                 0.7063,                0.56778,                0.36304,                  1.146,                 1.2375,               0.006337,               0.006337,               0.006337
                    114,                0.53857,                 1.1588,                 1.4495,                 0.6763,                0.64193,                0.68332,                0.54689,                0.36276,                 1.1789,                 1.2312,               0.006304,               0.006304,               0.006304
                    115,                0.53156,                 1.1698,                 1.4537,                0.74082,                0.67613,                0.71971,                0.58147,                0.35569,                 1.1133,                 1.2286,               0.006271,               0.006271,               0.006271
                    116,                0.52339,                 1.1806,                 1.4481,                0.72387,                0.69058,                0.73259,                0.58471,                0.35196,                 1.0333,                 1.2278,               0.006238,               0.006238,               0.006238
                    117,                0.55157,                 1.2034,                 1.4581,                0.69549,                0.67451,                0.73359,                0.58755,                0.36444,                 1.0351,                 1.2381,               0.006205,               0.006205,               0.006205
                    118,                0.53629,                 1.1722,                 1.4462,                0.74831,                0.62004,                0.71525,                0.57145,                0.36229,                 1.1065,                 1.2315,               0.006172,               0.006172,               0.006172
                    119,                0.53918,                 1.1424,                 1.4483,                0.81248,                 0.6793,                0.73229,                0.58784,                0.35626,                 1.0644,                  1.239,               0.006139,               0.006139,               0.006139
                    120,                0.53813,                 1.1516,                 1.4451,                0.71738,                0.68435,                0.71092,                0.56516,                0.37823,                  1.083,                 1.2389,               0.006106,               0.006106,               0.006106
                    121,                 0.5326,                 1.1518,                 1.4389,                0.74637,                0.65467,                0.66955,                 0.5439,                0.36812,                 1.2352,                 1.2206,               0.006073,               0.006073,               0.006073
                    122,                0.53096,                 1.1487,                 1.4317,                0.75962,                0.58915,                0.69346,                0.56214,                0.38003,                  1.204,                 1.2501,                0.00604,                0.00604,                0.00604
                    123,                0.53496,                 1.1397,                 1.4327,                 0.7135,                0.68266,                0.68218,                0.55281,                0.36222,                 1.1688,                 1.2367,               0.006007,               0.006007,               0.006007
                    124,                0.52887,                 1.1489,                 1.4379,                0.77515,                0.67419,                0.70181,                0.57008,                0.35159,                 1.1369,                 1.2279,               0.005974,               0.005974,               0.005974
                    125,                0.54625,                 1.1665,                 1.4547,                0.71936,                0.71157,                0.71809,                0.58506,                0.37322,                 1.0763,                 1.2372,               0.005941,               0.005941,               0.005941
                    126,                0.54261,                  1.123,                 1.4313,                0.77386,                0.61842,                0.70462,                0.56474,                0.37603,                  1.141,                 1.2318,               0.005908,               0.005908,               0.005908
                    127,                0.51894,                 1.1054,                 1.4174,                0.70862,                0.63562,                 0.7092,                0.57255,                0.38075,                 1.1161,                 1.2329,               0.005875,               0.005875,               0.005875
                    128,                0.54678,                 1.1298,                  1.432,                0.78073,                0.67346,                0.73762,                0.59329,                0.37379,                 1.0331,                 1.2189,               0.005842,               0.005842,               0.005842
